time_step,acceleration
2.718,0.010644
2.72,0.009703
2.722,0.008164
2.724,0.006076
2.726,0.003649
2.728,0.001185
2.73,-0.001481
2.732,-0.003862
2.734,-0.006047
2.736,-0.007709
2.738,-0.008833
2.74,-0.009373
2.742,-0.009322
2.744,-0.008558
2.746,-0.007137
2.748,-0.005337
2.75,-0.003098
2.752,-0.00071
2.754,0.001754
2.756,0.00424
2.758,0.006562
2.76,0.008496
2.762,0.009854
2.764,0.010717
2.766,0.010947
2.768,0.010556
2.77,0.009564
2.772,0.007974
2.774,0.005918
2.776,0.003599
2.778,0.001141
2.78,-0.001471
2.782,-0.003852
2.784,-0.006073
2.786,-0.007829
2.788,-0.008864
2.79,-0.009398
2.792,-0.009265
2.794,-0.008504
2.796,-0.007143
2.798,-0.005229
2.8,-0.002997
2.802,-0.000584
2.804,0.002019
2.806,0.004354
2.808,0.006644
2.81,0.008515
2.812,0.009908
2.814,0.010726
2.816,0.010932
2.818,0.010638
2.82,0.009529
2.822,0.00793
2.824,0.005874
2.826,0.003495
2.828,0.000936
2.83,-0.001588
2.832,-0.004029
2.834,-0.006208
2.836,-0.00786
2.838,-0.008921
2.84,-0.009354
2.842,-0.009174
2.844,-0.008448
2.846,-0.006963
2.848,-0.005113
2.85,-0.002943
2.852,-0.000489
2.854,0.002076
2.856,0.004525
2.858,0.006711
2.86,0.008641
2.862,0.009965
2.864,0.010733
2.866,0.010919
2.868,0.010502
2.87,0.009415
2.872,0.00782
2.874,0.005785
2.876,0.003349
2.878,0.000797
2.88,-0.00168
2.882,-0.004137
2.884,-0.006177
2.886,-0.007854
2.888,-0.008956
2.89,-0.009427
2.892,-0.009177
2.894,-0.008444
2.896,-0.007052
2.898,-0.00503
2.9,-0.002757
2.902,-0.000284
2.904,0.002212
2.906,0.004591
2.908,0.006796
2.91,0.008647
2.912,0.009977
2.914,0.010736
2.916,0.010878
2.918,0.010473
2.92,0.009459
2.922,0.007782
2.924,0.005712
2.926,0.003248
2.928,0.000699
2.93,-0.001841
2.932,-0.004228
2.934,-0.006328
2.936,-0.007952
2.938,-0.008981
2.94,-0.009367
2.942,-0.009199
2.944,-0.00828
2.946,-0.006856
